uf,cod_uf,cod_municipio,municipio,populacao_2012
PA,15,05502,Paragominas,101046
PA,15,05536,Parauapebas,166342
PA,15,05551,Pau D'Arco,5869
PA,15,05601,Peixe-Boi,7869
PA,15,05635,Piçarra,12701
PA,15,05650,Placas,25526
PA,15,05700,Ponta de Pedras,27103
PA,15,05809,Portel,54306
PA,15,05908,Porto de Moz,35529
PA,15,06005,Prainha,29325
PA,15,06104,Primavera,10352
PA,15,06112,Quatipuru,12639
PA,15,06138,Redenção,77415
PA,15,06161,Rio Maria,17728
PA,15,06187,Rondon do Pará,48036
PA,15,06195,Rurópolis,42417
PA,15,06203,Salinópolis,38021
PA,15,06302,Salvaterra,20948
PA,15,06351,Santa Bárbara do Pará,18012
PA,15,06401,Santa Cruz do Arari,8593
PA,15,06500,Santa Isabel do Pará,61919
PA,15,06559,Santa Luzia do Pará,19428
PA,15,06583,Santa Maria das Barreiras,18150
PA,15,06609,Santa Maria do Pará,23355
PA,15,06708,Santana do Araguaia,59919
PA,15,06807,Santarém,284401
PA,15,06906,Santarém Novo,6248
PA,15,07003,Santo Antônio do Tauá,27707
PA,15,07102,São Caetano de Odivelas,17087
PA,15,07151,São Domingos do Araguaia,23602
PA,15,07201,São Domingos do Capim,30215
PA,15,07300,São Félix do Xingu,99905
PA,15,07409,São Francisco do Pará,15184
PA,15,07458,São Geraldo do Araguaia,25277
PA,15,07466,São João da Ponta,5451
PA,15,07474,São João de Pirabas,21125
PA,15,07508,São João do Araguaia,13293
PA,15,07607,São Miguel do Guamá,53108
PA,15,07706,São Sebastião da Boa Vista,23696
PA,15,07755,Sapucaia,5236
PA,15,07805,Senador José Porfírio,12641
PA,15,07904,Soure,23461
PA,15,07953,Tailândia,85468
PA,15,07961,Terra Alta,10565
PA,15,07979,Terra Santa,17305
PA,15,08001,Tomé-Açu,57914
PA,15,08035,Tracuateua,28167
PA,15,08050,Trairão,17303
PA,15,08084,Tucumã,34956
PA,15,08100,Tucuruí,100651
PA,15,08126,Ulianópolis,46979
PA,15,08159,Uruará,44727
PA,15,08209,Vigia,49054
PA,15,08308,Viseu,57566
PA,15,08357,Vitória do Xingu,13777
PA,15,08407,Xinguara,41382
AP,16,00105,Amapá,8213
AP,16,00204,Calçoene,9343
AP,16,00212,Cutias,4910
AP,16,00238,Ferreira Gomes,6141
AP,16,00253,Itaubal,4473
AP,16,00279,Laranjal do Jari,41668
AP,16,00303,Macapá,415554
AP,16,00402,Mazagão,17794
AP,16,00501,Oiapoque,21661
AP,16,00154,Pedra Branca do Amapari,11794
AP,16,00535,Porto Grande,17680
AP,16,00550,Pracuúba,4021
AP,16,00600,Santana,104407
AP,16,00055,Serra do Navio,4545
AP,16,00709,Tartarugalzinho,13385
AP,16,00808,Vitória do Jari,13013
TO,17,00251,Abreulândia,2422
TO,17,00301,Aguiarnópolis,5467
TO,17,00350,Aliança do Tocantins,5595
TO,17,00400,Almas,7452
TO,17,00707,Alvorada,8354
TO,17,01002,Ananás,9768
TO,17,01051,Angico,3219
TO,17,01101,Aparecida do Rio Negro,4319
TO,17,01309,Aragominas,5838
TO,17,01903,Araguacema,6454
TO,17,02000,Araguaçu,8702
TO,17,02109,Araguaína,156123
TO,17,02158,Araguanã,5157
TO,17,02208,Araguatins,32133
TO,17,02307,Arapoema,6700
TO,17,02406,Arraias,10594
TO,17,02554,Augustinópolis,16401
TO,17,02703,Aurora do Tocantins,3499
TO,17,02901,Axixá do Tocantins,9343
TO,17,03008,Babaçulândia,10439
TO,17,03057,Bandeirantes do Tocantins,3200
TO,17,03073,Barra do Ouro,4206
TO,17,03107,Barrolândia,5390
TO,17,03206,Bernardo Sayão,4442
TO,17,03305,Bom Jesus do Tocantins,3987
TO,17,03602,Brasilândia do Tocantins,2086
TO,17,03701,Brejinho de Nazaré,5232
TO,17,03800,Buriti do Tocantins,10059
TO,17,03826,Cachoeirinha,2167
TO,17,03842,Campos Lindos,8517
TO,17,03867,Cariri do Tocantins,3872
TO,17,03883,Carmolândia,2363
TO,17,03891,Carrasco Bonito,3759
TO,17,03909,Caseara,4744
TO,17,04105,Centenário,2627
TO,17,05102,Chapada da Natividade,3278
TO,17,04600,Chapada de Areia,1345
TO,17,05508,Colinas do Tocantins,31675
TO,17,16703,Colméia,8500
TO,17,05557,Combinado,4691
TO,17,05607,Conceição do Tocantins,4153
TO,17,06001,Couto de Magalhães,5111
TO,17,06100,Cristalândia,7222
TO,17,06258,Crixás do Tocantins,1592
TO,17,06506,Darcinópolis,5425
TO,17,07009,Dianópolis,19669
TO,17,07108,Divinópolis do Tocantins,6452
TO,17,07207,Dois Irmãos do Tocantins,7145
TO,17,07306,Dueré,4597
TO,17,07405,Esperantina,9756
TO,17,07553,Fátima,3799
TO,17,07652,Figueirópolis,5307
TO,17,07702,Filadélfia,8549
TO,17,08205,Formoso do Araguaia,18369
TO,17,08254,Fortaleza do Tabocão,2446
TO,17,08304,Goianorte,4974
TO,17,09005,Goiatins,12220
TO,17,09302,Guaraí,23681
TO,17,09500,Gurupi,78525
TO,17,09807,Ipueiras,1711
TO,17,10508,Itacajá,7148
TO,17,10706,Itaguatins,5976
TO,17,10904,Itapiratins,3571
TO,17,11100,Itaporã do Tocantins,2434
TO,17,11506,Jaú do Tocantins,3566
TO,17,11803,Juarina,2216
TO,17,11902,Lagoa da Confusão,10821
TO,17,11951,Lagoa do Tocantins,3676
TO,17,12009,Lajeado,2838
TO,17,12157,Lavandeira,1665
TO,17,12405,Lizarda,3716
TO,17,12454,Luzinópolis,2713
TO,17,12504,Marianópolis do Tocantins,4507
TO,17,12702,Mateiros,2311
TO,17,12801,Maurilândia do Tocantins,3200
TO,17,13205,Miracema do Tocantins,20117
TO,17,13304,Miranorte,12747
TO,17,13601,Monte do Carmo,6946
TO,17,13700,Monte Santo do Tocantins,2118
TO,17,13957,Muricilândia,3224
TO,17,14203,Natividade,9021
TO,17,14302,Nazaré,4271
TO,17,14880,Nova Olinda,10883
TO,17,15002,Nova Rosalândia,3858
TO,17,15101,Novo Acordo,3869
TO,17,15150,Novo Alegre,2288
TO,17,15259,Novo Jardim,2504
TO,17,15507,Oliveira de Fátima,1049
TO,17,21000,Palmas,242070
TO,17,15705,Palmeirante,5157
TO,17,13809,Palmeiras do Tocantins,5909
TO,17,15754,Palmeirópolis,7380
TO,17,16109,Paraíso do Tocantins,45669
TO,17,16208,Paranã,10327
TO,17,16307,Pau D'Arco,4627
TO,17,16505,Pedro Afonso,11919
TO,17,16604,Peixe,10629
TO,17,16653,Pequizeiro,5124
TO,17,17008,Pindorama do Tocantins,4479
TO,17,17206,Piraquê,2933
TO,17,17503,Pium,6869
TO,17,17800,Ponte Alta do Bom Jesus,4540
TO,17,17909,Ponte Alta do Tocantins,7333
TO,17,18006,Porto Alegre do Tocantins,2857
TO,17,18204,Porto Nacional,49774
TO,17,18303,Praia Norte,7792
TO,17,18402,Presidente Kennedy,3670
TO,17,18451,Pugmil,2427
TO,17,18501,Recursolândia,3864
TO,17,18550,Riachinho,4270
TO,17,18659,Rio da Conceição,1794
TO,17,18709,Rio dos Bois,2616
TO,17,18758,Rio Sono,6279
TO,17,18808,Sampaio,4025
TO,17,18840,Sandolândia,3326
TO,17,18865,Santa Fé do Araguaia,6764
TO,17,18881,Santa Maria do Tocantins,2995
TO,17,18899,Santa Rita do Tocantins,2170
TO,17,18907,Santa Rosa do Tocantins,4607
TO,17,19004,Santa Tereza do Tocantins,2585
TO,17,20002,Santa Terezinha do Tocantins,2477
TO,17,20101,São Bento do Tocantins,4740
TO,17,20150,São Félix do Tocantins,1463
TO,17,20200,São Miguel do Tocantins,10783
TO,17,20259,São Salvador do Tocantins,2936
TO,17,20309,São Sebastião do Tocantins,4376
TO,17,20499,São Valério da Natividade,4282
TO,17,20655,Silvanópolis,5120
TO,17,20804,Sítio Novo do Tocantins,9097
TO,17,20853,Sucupira,1783
TO,17,20903,Taguatinga,15336
TO,17,20937,Taipas do Tocantins,1981
TO,17,20978,Talismã,2601
TO,17,21109,Tocantínia,6880
TO,17,21208,Tocantinópolis,22596
TO,17,21257,Tupirama,1634
TO,17,21307,Tupiratins,2208
TO,17,22081,Wanderlândia,11088
TO,17,22107,Xambioá,11458
MA,21,00055,Açailândia,106422
MA,21,00105,Afonso Cunha,6090
MA,21,00154,Água Doce do Maranhão,11865
MA,21,00204,Alcântara,21605
MA,21,00303,Aldeias Altas,24726
MA,21,00402,Altamira do Maranhão,11381
MA,21,00436,Alto Alegre do Maranhão,25326
MA,21,00477,Alto Alegre do Pindaré,31190
MA,21,00501,Alto Parnaíba,10856
MA,21,00550,Amapá do Maranhão,6583
MA,21,00600,Amarante do Maranhão,38953
MA,21,00709,Anajatuba,25955
MA,21,00808,Anapurus,14492
MA,21,00832,Apicum-Açu,15542
MA,21,00873,Araguanã,14407
MA,21,00907,Araioses,43653
MA,21,00956,Arame,31729
MA,21,01004,Arari,28809
MA,21,01103,Axixá,11599
MA,21,01202,Bacabal,101195
MA,21,01251,Bacabeira,15591
MA,21,01301,Bacuri,17437
MA,21,01350,Bacurituba,5387
MA,21,01400,Balsas,87057
MA,21,01509,Barão de Grajaú,17862
MA,21,01608,Barra do Corda,84180
MA,21,01707,Barreirinhas,58083
MA,21,01772,Bela Vista do Maranhão,12335
MA,21,01731,Belágua,6986
MA,21,01806,Benedito Leite,5497
MA,21,01905,Bequimão,20773
MA,21,01939,Bernardo do Mearim,6111
MA,21,01970,Boa Vista do Gurupi,8375
MA,21,02002,Bom Jardim,39740
MA,21,02036,Bom Jesus das Selvas,30259
MA,21,02077,Bom Lugar,15314
MA,21,02101,Brejo,34242
MA,21,02150,Brejo de Areia,4962
MA,21,02200,Buriti,27449
MA,21,02309,Buriti Bravo,23119
MA,21,02325,Buriticupu,67378
MA,21,02358,Buritirana,14930
MA,21,02374,Cachoeira Grande,8607
MA,21,02408,Cajapió,10740
MA,21,02507,Cajari,18603
MA,21,02556,Campestre do Maranhão,13649
MA,21,02606,Cândido Mendes,19222
MA,21,02705,Cantanhede,20879
MA,21,02754,Capinzal do Norte,10722
MA,21,02804,Carolina,23955
MA,21,02903,Carutapera,22517
MA,21,03000,Caxias,158059
MA,21,03109,Cedral,10374
MA,21,03125,Central do Maranhão,8120
MA,21,03158,Centro do Guilherme,11979
MA,21,03174,Centro Novo do Maranhão,19947
MA,21,03208,Chapadinha,75167
MA,21,03257,Cidelândia,13963
MA,21,03307,Codó,119079
MA,21,03406,Coelho Neto,47435
MA,21,03505,Colinas,39635
MA,21,03554,Conceição do Lago-Açu,14989
MA,21,03604,Coroatá,62639
MA,21,03703,Cururupu,32487
MA,21,03752,Davinópolis,12625
MA,21,03802,Dom Pedro,22791
MA,21,03901,Duque Bacelar,10836
MA,21,04008,Esperantinópolis,17715
MA,21,04057,Estreito,37784
MA,21,04073,Feira Nova do Maranhão,8215
MA,21,04081,Fernando Falcão,9584
MA,21,04099,Formosa da Serra Negra,17749
MA,21,04107,Fortaleza dos Nogueiras,12306
MA,21,04206,Fortuna,15174
MA,21,04305,Godofredo Viana,10762
MA,21,04404,Gonçalves Dias,17545
MA,21,04503,Governador Archer,10372
MA,21,04552,Governador Edison Lobão,16651
MA,21,04602,Governador Eugênio Barros,16197
MA,21,04628,Governador Luiz Rocha,7462
MA,21,04651,Governador Newton Bello,10166
MA,21,04677,Governador Nunes Freire,25323
MA,21,04701,Graça Aranha,6150
MA,21,04800,Grajaú,64510
MA,21,04909,Guimarães,11997
MA,21,05005,Humberto de Campos,26933
MA,21,05104,Icatu,25698
MA,21,05153,Igarapé do Meio,13052
MA,21,05203,Igarapé Grande,11289
MA,21,05302,Imperatriz,250063
MA,21,05351,Itaipava do Grajaú,13103
MA,21,05401,Itapecuru Mirim,63907
MA,21,05427,Itinga do Maranhão,25125
MA,21,05450,Jatobá,9051
MA,21,05476,Jenipapo dos Vieiras,15733
MA,21,05500,João Lisboa,23561
MA,21,05609,Joselândia,15688
MA,21,05658,Junco do Maranhão,3792
MA,21,05708,Lago da Pedra,47298
MA,21,05807,Lago do Junco,10865
MA,21,05948,Lago dos Rodrigues,7744
MA,21,05906,Lago Verde,15624
MA,21,05922,Lagoa do Mato,10955
MA,21,05963,Lagoa Grande do Maranhão,12501
MA,21,05989,Lajeado Novo,7106
MA,21,06003,Lima Campos,11525
MA,21,06102,Loreto,11597
MA,21,06201,Luís Domingues,6629
MA,21,06300,Magalhães de Almeida,18277
MA,21,06326,Maracaçumé,19887
MA,21,06359,Marajá do Sena,7751
MA,21,06375,Maranhãozinho,14524
MA,21,06409,Mata Roma,15657
MA,21,06508,Matinha,22286
MA,21,06607,Matões,32216
MA,21,06631,Matões do Norte,14755
MA,21,06672,Milagres do Maranhão,8195
MA,21,06706,Mirador,20537
MA,21,06755,Miranda do Norte,25681
MA,21,06805,Mirinzal,14402
MA,21,06904,Monção,31717
MA,21,07001,Montes Altos,9272
MA,21,07100,Morros,18265
MA,21,07209,Nina Rodrigues,13095
MA,21,07258,Nova Colinas,5034
MA,21,07308,Nova Iorque,4598
MA,21,07357,Nova Olinda do Maranhão,19659
MA,21,07407,Olho d'Água das Cunhãs,18816
MA,21,07456,Olinda Nova do Maranhão,13643
MA,21,07506,Paço do Lumiar,110321
MA,21,07605,Palmeirândia,19007
MA,21,07704,Paraibano,20443
MA,21,07803,Parnarama,33669
MA,21,07902,Passagem Franca,17977
MA,21,08009,Pastos Bons,18461
MA,21,08058,Paulino Neves,14971
MA,21,08108,Paulo Ramos,20454
MA,21,08207,Pedreiras,39391
MA,21,08256,Pedro do Rosário,23454
MA,21,08306,Penalva,35996
MA,21,08405,Peri Mirim,13898
MA,21,08454,Peritoró,21785
MA,21,08504,Pindaré-Mirim,31609
MA,21,08603,Pinheiro,79566
MA,21,08702,Pio XII,21708
MA,21,08801,Pirapemas,17722
MA,21,08900,Poção de Pedras,19165
MA,21,09007,Porto Franco,22239
MA,21,09056,Porto Rico do Maranhão,5978
MA,21,09106,Presidente Dutra,45564
MA,21,09205,Presidente Juscelino,11897
MA,21,09239,Presidente Médici,6564
MA,21,09270,Presidente Sarney,17686
MA,21,09304,Presidente Vargas,10964
MA,21,09403,Primeira Cruz,14355
MA,21,09452,Raposa,27723
MA,21,09502,Riachão,20093
MA,21,09551,Ribamar Fiquene,7444
MA,21,09601,Rosário,40469
MA,21,09700,Sambaíba,5522
MA,21,09759,Santa Filomena do Maranhão,7246
MA,21,09809,Santa Helena,40356
MA,21,09908,Santa Inês,78733
MA,21,10005,Santa Luzia,74943
MA,21,10039,Santa Luzia do Paruá,23035
MA,21,10104,Santa Quitéria do Maranhão,28914
MA,21,10203,Santa Rita,33843
MA,21,10237,Santana do Maranhão,12203
MA,21,10278,Santo Amaro do Maranhão,14456
MA,21,10302,Santo Antônio dos Lopes,14294
MA,21,10401,São Benedito do Rio Preto,18004
MA,21,10500,São Bento,42083
MA,21,10609,São Bernardo,27044
MA,21,10658,São Domingos do Azeitão,7088
MA,21,10708,São Domingos do Maranhão,33692
MA,21,10807,São Félix de Balsas,4636
MA,21,10856,São Francisco do Brejão,10745
MA,21,10906,São Francisco do Maranhão,11932
MA,21,11003,São João Batista,20072
MA,21,11029,São João do Carú,15631
MA,21,11052,São João do Paraíso,10882
MA,21,11078,São João do Soter,17602
MA,21,11102,São João dos Patos,25056
MA,21,11201,São José de Ribamar,167714
MA,21,11250,São José dos Basílios,7506
MA,21,11300,São Luís,1039610
MA,21,11409,São Luís Gonzaga do Maranhão,19758
MA,21,11508,São Mateus do Maranhão,39733
MA,21,11532,São Pedro da Água Branca,12195
MA,21,11573,São Pedro dos Crentes,4486
MA,21,11607,São Raimundo das Mangabeiras,17868
MA,21,11631,São Raimundo do Doca Bezerra,5757
MA,21,11672,São Roberto,6193
MA,21,11706,São Vicente Ferrer,21235
MA,21,11722,Satubinha,12600
MA,21,11748,Senador Alexandre Costa,10511
MA,21,11763,Senador La Rocque,14447
MA,21,11789,Serrano do Maranhão,10545
MA,21,11805,Sítio Novo,17288
MA,21,11904,Sucupira do Norte,10454
MA,21,11953,Sucupira do Riachão,5466
MA,21,12001,Tasso Fragoso,8008
MA,21,12100,Timbiras,28238
MA,21,12209,Timon,159471
MA,21,12233,Trizidela do Vale,19339
MA,21,12274,Tufilândia,5651
MA,21,12308,Tuntum,39924
MA,21,12407,Turiaçu,34333
MA,21,12456,Turilândia,23694
MA,21,12506,Tutóia,54629
MA,21,12605,Urbano Santos,25356
MA,21,12704,Vargem Grande,51633
MA,21,12803,Viana,50257
MA,21,12852,Vila Nova dos Martírios,11946
MA,21,12902,Vitória do Mearim,31588
MA,21,13009,Vitorino Freire,31709
MA,21,14007,Zé Doca,49355
PI,22,00053,Acauã,6840
PI,22,00103,Agricolândia,5062
PI,22,00202,Água Branca,16744
PI,22,00251,Alagoinha do Piauí,7413
PI,22,00277,Alegrete do Piauí,5173
PI,22,00301,Alto Longá,13820
PI,22,00400,Altos,39232
PI,22,00459,Alvorada do Gurguéia,5177
PI,22,00509,Amarante,17173
PI,22,00608,Angical do Piauí,6655
PI,22,00707,Anísio de Abreu,9385
PI,22,00806,Antônio Almeida,3068
PI,22,00905,Aroazes,5742
PI,22,00954,Aroeiras do Itaim,2442
PI,22,01002,Arraial,4655
PI,22,01051,Assunção do Piauí,7590
PI,22,01101,Avelino Lopes,11258
PI,22,01150,Baixa Grande do Ribeiro,10930
PI,22,01176,Barra D'Alcântara,3858
PI,22,01200,Barras,45448
PI,22,01309,Barreiras do Piauí,3255
PI,22,01408,Barro Duro,6580
PI,22,01507,Batalha,26023
PI,22,01556,Bela Vista do Piauí,3854
PI,22,01572,Belém do Piauí,3388
PI,22,01606,Beneditinos,9943
PI,22,01705,Bertolínia,5350
PI,22,01739,Betânia do Piauí,6042
PI,22,01770,Boa Hora,6467
PI,22,01804,Bocaina,4394
PI,22,01903,Bom Jesus,23642
PI,22,01919,Bom Princípio do Piauí,5407
PI,22,01929,Bonfim do Piauí,5471
PI,22,01945,Boqueirão do Piauí,6288
PI,22,01960,Brasileira,8057
PI,22,01988,Brejo do Piauí,3724
PI,22,02000,Buriti dos Lopes,19212
PI,22,02026,Buriti dos Montes,8079
PI,22,02059,Cabeceiras do Piauí,10144
PI,22,02075,Cajazeiras do Piauí,3413
PI,22,02083,Cajueiro da Praia,7321
PI,22,02091,Caldeirão Grande do Piauí,5700
PI,22,02109,Campinas do Piauí,5449
PI,22,02117,Campo Alegre do Fidalgo,4815
PI,22,02133,Campo Grande do Piauí,5704
PI,22,02174,Campo Largo do Piauí,6964
PI,22,02208,Campo Maior,45493
PI,22,02251,Canavieira,3892
PI,22,02307,Canto do Buriti,20375
PI,22,02406,Capitão de Campos,11092
PI,22,02455,Capitão Gervásio Oliveira,3946
PI,22,02505,Caracol,10448
PI,22,02539,Caraúbas do Piauí,5634
PI,22,02554,Caridade do Piauí,4915
PI,22,02604,Castelo do Piauí,18336
PI,22,02653,Caxingó,5174
PI,22,02703,Cocal,27067
PI,22,02711,Cocal de Telha,4567
PI,22,02729,Cocal dos Alves,5635
PI,22,02737,Coivaras,3872
PI,22,02752,Colônia do Gurguéia,6191
PI,22,02778,Colônia do Piauí,7461
PI,22,02802,Conceição do Canindé,4496
PI,22,02851,Coronel José Dias,4561
PI,22,02901,Corrente,25737
