cod_mun,internet_2012,radio_am_2012,radio_fm_2012,radio_comun_2012,geradora_tv_2012
170388,0,0,0,0,0
170389,0,0,0,1,0
170390,0,0,0,0,0
170410,0,0,0,0,0
170460,0,0,0,0,0
170510,0,0,0,0,0
170550,1,1,1,1,1
170555,0,0,0,1,0
170560,0,0,0,0,0
170600,0,0,0,1,0
170610,0,0,0,1,0
170625,1,0,0,0,0
170650,1,0,0,0,0
170700,0,0,1,1,0
170710,0,0,0,0,0
170720,0,0,0,0,0
170730,1,0,0,0,0
170740,0,0,0,1,0
170755,0,0,0,1,0
170765,1,0,0,1,0
170770,0,0,0,0,0
170820,0,0,1,0,0
170825,0,0,0,0,0
170830,0,0,0,1,0
170900,0,0,0,1,0
170930,0,0,1,0,0
170950,1,0,1,1,1
170980,0,0,0,0,0
171050,0,0,0,0,0
171070,1,0,0,0,0
171090,0,0,0,1,0
171110,0,0,0,0,0
171150,0,0,0,0,0
171180,0,0,0,0,0
171190,0,0,1,0,0
171195,1,0,0,0,0
171200,0,1,0,1,0
171215,0,0,0,0,0
171240,0,0,0,0,0
171245,1,0,0,1,0
171250,0,0,0,0,0
171270,0,0,0,1,0
171280,1,0,0,1,0
171320,0,1,1,0,0
171330,0,0,0,1,0
171360,0,0,0,1,0
171370,0,0,0,0,0
171380,0,0,0,0,0
171395,0,0,0,0,0
171420,0,0,0,1,0
171430,0,0,1,0,0
171488,1,0,0,1,0
171500,0,0,0,1,0
171510,0,0,0,1,0
171515,0,0,0,0,0
171525,0,0,0,0,0
171550,0,0,0,0,0
171570,0,0,0,1,0
171575,0,0,0,1,0
171610,1,1,1,0,1
171620,0,0,0,1,0
171630,0,0,0,1,0
171650,0,0,0,1,0
171660,1,0,0,1,0
171665,0,0,1,0,0
171670,0,0,1,1,0
171700,0,0,0,0,0
171720,1,0,0,0,0
171750,0,0,0,1,0
171780,0,0,0,0,0
171790,0,0,0,1,0
171800,0,0,1,0,0
171820,1,1,1,1,1
171830,1,0,1,0,0
171840,0,0,0,0,0
171845,0,0,0,0,0
171850,0,0,0,0,0
171855,0,0,0,0,0
171865,0,0,0,1,0
171870,0,0,0,0,0
171875,0,0,0,0,0
171880,1,0,1,0,0
171884,0,0,0,1,0
171886,1,0,0,0,0
171888,0,0,0,0,0
171889,0,0,0,0,0
171890,0,0,0,0,0
171900,0,0,0,0,0
172000,0,0,0,0,0
172010,0,0,0,0,0
172015,0,0,0,0,0
172020,1,0,0,0,0
172025,0,0,0,0,0
172030,0,0,0,0,0
172049,0,0,0,0,0
172065,0,0,0,0,0
172080,0,0,0,0,0
172085,0,0,0,0,0
172090,0,0,0,1,0
172093,0,0,1,0,0
172097,0,0,0,0,0
172100,1,0,0,0,0
172110,0,0,0,0,0
172120,1,0,1,1,0
172125,0,0,0,0,0
172130,0,0,0,0,0
172208,0,0,0,0,0
172210,0,0,0,1,0
210005,1,1,1,1,0
210010,1,0,0,0,0
210015,1,0,0,1,0
210020,0,0,0,0,0
210030,1,0,0,1,0
210040,0,0,1,1,1
210043,1,0,0,0,1
210047,1,0,1,0,0
210050,0,0,0,0,0
210055,0,0,0,0,0
210060,1,0,0,1,0
210070,0,0,0,0,0
210080,1,0,0,1,0
210083,0,0,1,0,1
210087,0,0,0,0,0
210090,1,0,1,1,0
210095,1,0,0,1,1
210100,0,0,1,1,0
210110,0,0,0,1,0
210120,1,0,1,1,1
210125,0,0,0,0,0
210130,1,1,0,1,0
210135,0,0,0,0,0
210140,0,0,0,0,0
210150,0,0,0,1,0
210160,1,1,1,1,1
210170,1,0,1,1,0
210173,0,0,0,1,0
210177,0,0,0,1,0
210180,0,0,0,0,0
210190,0,1,0,0,0
210193,1,0,1,0,1
210197,0,0,0,0,0
210200,1,0,1,0,0
210203,0,0,0,1,1
210207,0,0,0,1,0
210210,0,0,0,1,1
210215,0,0,0,0,0
210220,1,0,0,1,0
210230,0,0,1,1,0
210232,1,0,1,1,1
210235,1,1,0,1,0
210237,0,0,0,0,0
210240,1,0,0,0,1
210250,0,0,0,0,0
210255,1,0,0,0,0
210260,0,0,1,1,0
210270,1,1,1,1,0
210275,0,0,1,1,1
210280,1,0,1,1,1
210290,1,0,1,0,0
210300,1,1,1,0,0
210310,0,0,0,0,0
210312,0,0,0,0,0
210315,0,0,0,1,0
210317,1,0,0,0,0
210320,1,1,1,0,1
210325,1,0,0,0,0
210330,1,0,1,0,1
210340,1,1,1,1,1
210350,1,0,1,1,1
210355,0,0,0,0,0
210360,1,1,1,1,1
210370,1,0,0,0,0
210375,1,0,1,1,0
210380,1,0,1,1,1
210390,1,1,1,1,0
210400,1,0,1,1,1
210405,1,1,1,0,1
210407,0,0,0,0,0
210408,0,0,0,1,0
210409,1,0,0,0,0
210410,1,0,0,1,0
210420,1,0,0,0,1
210430,0,0,1,1,0
210440,1,0,1,0,0
210450,1,0,0,1,0
210455,1,0,1,0,0
210460,1,0,1,0,0
210462,1,0,0,0,0
210465,0,0,1,0,0
210467,0,0,1,0,0
210470,0,0,0,1,0
210480,1,0,1,1,1
210490,1,0,0,1,1
210500,1,0,0,0,0
210510,0,1,1,1,0
210515,1,0,1,1,0
210520,1,0,0,1,0
210530,1,1,1,0,1
210535,0,0,0,1,1
210540,1,1,1,1,1
210542,1,0,1,1,1
210545,0,0,0,0,0
210547,1,0,0,0,0
210550,1,1,1,1,0
210560,0,0,1,0,1
210565,0,0,0,0,0
210570,1,1,1,1,1
210580,1,0,1,0,1
210590,1,0,1,1,1
210592,1,0,0,1,1
210594,1,0,1,0,1
210596,1,0,1,1,0
210598,0,0,0,0,0
210600,1,0,1,1,1
210610,1,0,0,0,1
210620,0,0,1,1,0
210630,1,0,0,1,0
210632,0,0,1,1,0
210635,0,0,1,1,0
210637,0,0,0,1,0
210640,1,0,0,1,0
210650,0,0,0,0,0
210660,1,0,1,1,1
210663,1,0,0,1,0
210667,1,0,0,1,0
210670,0,0,0,0,1
210675,0,0,0,0,0
210680,1,0,1,1,0
210690,0,0,0,0,0
210700,1,0,0,1,0
210710,1,0,0,1,0
210720,0,0,0,1,0
210725,1,0,0,0,0
210730,0,0,0,0,0
210735,0,0,0,1,0
210740,1,0,1,0,0
210745,0,0,0,0,0
210750,1,0,0,1,0
210760,0,0,0,1,0
210770,1,0,0,1,0
210780,0,0,1,1,1
210790,1,0,0,1,0
210800,1,0,1,0,0
210805,1,0,0,1,0
210810,0,0,0,0,0
210820,1,1,1,1,1
210825,0,0,0,1,1
210830,1,0,0,1,0
210840,0,0,1,0,1
210845,1,0,0,1,0
210850,0,0,1,1,0
210860,1,1,1,1,1
210870,0,0,1,1,0
210880,0,0,0,1,0
210890,0,0,1,0,1
210900,1,0,1,1,1
210905,0,0,0,1,0
210910,1,0,1,1,0
210920,0,0,0,1,0
210923,0,0,0,0,0
210927,0,0,0,1,0
210930,0,0,0,1,1
210940,0,0,1,1,0
210945,0,1,0,0,0
210950,0,0,0,0,0
210955,0,0,0,1,0
210960,0,1,1,1,0
210970,0,0,0,0,0
210975,1,0,1,0,0
210980,1,1,1,1,1
210990,1,1,1,0,1
211000,1,1,1,1,1
211003,0,0,1,1,0
211010,1,0,1,1,0
211020,0,0,0,0,0
211023,1,0,0,1,0
211027,0,0,1,0,0
211030,1,0,1,0,1
211040,1,0,0,1,0
211050,1,0,0,1,0
211060,1,0,1,1,0
211065,1,0,0,1,0
211070,1,0,0,0,0
211080,1,0,0,1,0
211085,1,1,1,1,1
211090,0,0,0,1,0
211100,1,0,0,1,0
211102,0,1,0,0,0
211105,1,0,0,1,0
211107,0,0,0,1,0
211110,1,1,1,1,1
211120,0,0,0,0,0
211125,1,0,1,0,0
211130,1,1,1,1,1
211140,1,0,1,1,0
211150,0,1,0,0,1
211153,1,0,0,0,0
211157,0,0,1,1,0
211160,1,0,1,1,1
211163,0,0,0,1,1
211167,1,0,1,0,1
211170,0,0,1,1,0
211172,0,0,0,0,0
211174,1,0,0,0,1
211176,1,0,1,0,0
211178,0,0,1,1,0
211180,1,0,0,1,0
211190,0,0,0,0,1
211195,0,0,0,0,0
211200,1,0,0,0,0
211210,1,0,1,1,0
211220,1,1,1,1,1
211223,1,0,1,0,1
211227,1,0,0,0,0
211230,1,0,0,1,1
211240,0,1,0,1,0
211245,1,0,0,0,0
211250,1,1,0,1,0
211260,1,0,0,1,0
211270,0,0,1,1,1
211280,0,1,1,1,0
211285,0,1,1,0,0
211290,1,1,1,1,1
211300,1,1,0,1,1
211400,1,1,1,1,1
220005,0,0,0,0,0
220010,1,0,0,0,0
220020,1,1,1,1,0
220025,1,0,0,1,0
220027,0,0,0,0,0
220030,0,0,0,1,1
220040,1,1,1,1,0
220045,0,0,0,1,0
220050,1,1,1,1,0
220060,0,0,1,0,0
220070,1,0,0,1,0
220080,0,0,0,1,0
220090,1,0,0,1,0
220095,0,0,0,1,0
220100,1,0,0,0,0
220105,0,1,0,0,0
220110,1,0,0,1,0
220115,1,0,1,0,0
220117,0,0,0,1,0
220120,1,0,0,0,0
220130,1,0,0,0,0
220140,1,0,1,1,0
220150,0,0,0,0,0
220155,0,0,0,1,0
220157,0,0,0,0,0
220160,0,0,0,0,0
220170,0,0,0,0,0
220173,1,0,1,1,0
220177,1,0,0,0,0
220180,1,0,0,1,0
220190,0,1,1,1,0
220191,0,0,0,1,0
220192,1,0,0,1,0
220194,0,0,1,0,0
220196,1,0,0,1,0
220198,0,0,0,1,0
220200,1,0,0,1,0
220202,0,0,0,1,0
220205,0,0,0,1,0
220207,0,0,0,0,0
220208,0,0,0,0,0
220209,0,0,0,0,0
220210,0,0,0,0,0
220211,0,0,0,0,0
220213,1,0,0,0,0
220217,1,0,0,1,0
220220,1,1,1,0,1
220225,0,0,0,0,0
220230,0,0,0,1,0
220240,0,0,0,1,1
220245,0,0,1,0,0
220250,0,0,1,1,0
220253,0,0,0,1,0
220255,0,0,0,0,0
220260,1,1,1,1,0
220265,0,0,0,1,0
220270,0,0,0,1,0
220271,0,0,0,0,0
220272,0,0,0,1,0
220273,0,0,0,1,0
220275,0,0,0,1,0
220277,0,0,0,0,0
220280,0,0,0,1,0
220285,0,0,0,0,0
220290,1,0,1,1,0
220300,1,0,0,0,0
220310,0,0,0,0,0
220320,1,0,0,1,0
220323,0,0,0,0,0
220325,0,0,0,1,0
220327,0,0,0,0,0
220330,0,0,0,1,0
220335,1,0,0,1,0
220340,1,0,1,0,0
220342,1,0,0,1,0
220345,0,0,0,1,0
220350,1,1,0,1,0
220360,0,0,0,1,0
220370,1,0,1,1,0
220375,0,0,0,1,0
220380,0,0,0,1,0
220385,0,0,0,0,0
220390,1,1,1,1,0
220400,1,0,0,0,0
220410,0,0,0,1,0
220415,0,0,0,0,1
220420,0,0,1,0,1
220430,1,0,0,1,0
220435,0,0,0,0,0
220440,1,0,0,1,0
220450,1,0,1,1,0
220455,0,0,0,1,0
220460,1,0,0,0,0
220465,1,0,0,0,0
220470,1,0,1,1,0
220480,1,0,0,1,1
220490,1,0,0,1,0
220500,1,0,0,0,0
220510,0,0,0,1,0
220515,0,0,0,0,0
220520,0,0,1,0,0
220525,0,0,0,0,0
220527,0,0,0,1,0
220530,0,0,0,0,0
220535,0,0,0,1,0
220540,1,0,0,1,0
220545,0,0,0,1,0
220550,1,1,0,1,0
220551,0,0,0,0,0
220552,0,0,0,0,0
220553,1,0,0,1,0
220554,1,0,0,0,1
220555,1,0,0,0,0
220556,0,0,0,1,0
220557,0,0,0,1,0
220558,0,0,0,0,0
220559,0,0,1,1,0
220560,0,0,0,1,0
220570,0,0,1,0,0
220580,1,1,0,1,0
220585,0,0,0,0,0
220590,1,0,0,0,0
220595,0,0,0,0,0
220600,0,0,0,1,0
220605,0,0,0,1,0
220610,1,0,0,0,0
220620,0,0,0,1,0
220630,0,0,0,0,0
220635,1,0,0,0,0
220640,1,0,1,1,1
220650,0,0,0,1,0
220660,1,0,0,0,0
220665,1,0,0,1,0
220667,0,0,0,1,0
220669,0,0,0,1,0
220670,0,0,0,1,0
220675,0,0,0,0,0
220680,1,0,0,0,0
220690,1,0,0,0,0
220695,0,0,0,0,0
220700,1,1,1,1,1
220710,1,0,0,0,0
220720,1,1,0,0,0
220730,0,0,0,1,0
220735,0,0,0,1,0
220740,0,0,0,1,0
220750,0,0,0,1,0
220755,0,0,0,0,0
220760,1,0,0,0,0
220770,1,1,1,1,1
220775,1,0,0,1,0
220777,0,0,0,1,0
220779,0,0,0,0,0
220780,1,1,1,0,0
220785,0,0,0,1,0
220790,1,1,1,1,0
220793,0,0,0,1,0
220795,0,0,0,0,0
220800,1,1,1,1,1
220810,1,0,1,1,0
220820,1,0,0,1,0
220830,0,1,0,0,0
220840,1,1,1,1,0
220850,1,0,0,0,0
220855,0,0,0,1,0
220860,1,0,0,1,0
220865,0,0,0,1,0
220870,0,0,0,1,0
220880,1,0,0,1,0
220885,1,0,0,0,0
220887,0,0,0,0,0
220890,0,0,0,0,0
220900,0,0,0,1,0
220910,0,0,0,1,0
220915,0,0,0,0,0
220920,1,0,0,1,0
220930,1,0,0,0,0
220935,0,0,0,0,0
220937,0,0,0,0,0
220940,1,0,0,0,0
220945,0,0,0,0,0
220950,0,0,0,0,0
220955,0,0,0,1,0
220960,1,0,0,1,0
220965,0,0,0,1,0
220970,0,0,0,1,0
220975,0,0,0,0,0
220980,1,0,0,0,0
220985,0,1,1,0,0
220987,0,0,0,1,0
220990,0,0,0,0,0
220995,0,0,0,0,0
220997,1,0,0,1,0
221000,1,1,1,1,0
221005,0,0,0,0,0
221010,0,0,0,0,0
221020,0,0,0,1,0
221030,1,0,0,1,0
221035,0,0,0,1,0
221037,0,0,1,0,0
221038,0,0,0,0,0
221039,0,0,0,1,0
221040,1,1,1,1,0
221050,0,1,1,0,1
221060,1,1,1,1,0
221062,1,0,0,1,0
221063,0,0,0,0,0
221065,0,0,0,1,0
221070,1,1,1,1,0
221080,1,1,1,0,0
221090,0,0,0,1,0
221093,0,0,0,0,0
221095,0,0,0,1,0
221097,0,0,0,0,0
221100,1,1,1,1,1
221110,1,0,0,1,0
221120,1,0,1,0,0
221130,1,0,1,0,0
221135,0,0,0,1,0
221140,0,0,0,0,0
221150,0,0,0,1,0
221160,1,0,1,1,0
221170,0,0,0,0,0
220672,0,0,0,1,0
230010,1,0,0,1,0
230015,1,0,1,0,0
230020,1,1,1,1,1
230030,1,1,1,1,0
230040,0,0,0,0,0
230050,1,0,1,1,0
230060,0,0,0,1,0
230070,1,0,0,1,0
230075,1,0,1,1,1
230080,1,0,0,1,0
230090,1,0,1,1,0
230100,0,1,1,1,0
230110,1,1,1,1,1
230120,0,0,0,0,0
230125,1,0,0,0,0
230130,1,0,0,1,0
230140,0,0,1,1,0
230150,1,0,0,0,0
230160,1,0,0,1,0
230170,0,0,1,0,0
230180,0,0,1,1,0
230185,0,0,0,1,0
230190,0,1,1,1,0
230195,0,0,0,1,0
230200,1,1,1,0,0
230205,1,0,0,1,0
230210,0,0,1,1,0
230220,1,0,0,1,0
230230,0,0,1,1,0
230240,1,1,1,1,0
230250,1,1,1,1,1
230260,1,1,1,1,1
230270,1,1,0,1,0
230280,1,1,1,1,0
230290,0,0,0,0,0
230300,0,1,1,1,0
230310,1,0,0,1,0
230320,1,0,1,1,0
230330,1,0,1,1,0
230340,1,0,1,1,0
230350,1,1,1,1,1
230360,1,0,1,1,0
230365,0,0,1,1,0
230370,0,1,1,1,0
230380,1,1,1,0,0
230390,0,0,0,1,0
230393,0,0,0,1,0
230395,0,0,1,1,0
230400,0,0,0,1,0
230410,1,1,1,1,0
230420,0,1,0,1,0
230423,1,0,0,1,0
230425,1,0,0,1,0
230426,0,0,0,1,0
230427,1,0,0,1,0
230428,1,0,1,1,0
230430,1,0,0,1,0
230435,1,1,0,1,0
230440,1,1,1,1,1
230445,0,0,0,1,0
230450,1,0,1,0,0
230460,1,0,0,0,0
230465,0,0,0,0,0
230470,1,1,0,1,0
230480,0,0,0,1,0
230490,1,0,0,1,0
230495,1,0,0,1,0
230500,1,1,1,1,0
230510,0,0,0,0,0
230520,1,0,1,1,0
230523,1,0,1,1,0
230526,0,0,0,0,0
230530,1,0,1,1,0
230533,0,0,0,1,0
230535,0,0,1,0,0
230540,1,0,1,1,0
230550,0,1,1,1,0
230560,1,0,1,1,0
230565,1,0,0,1,0
230570,1,0,1,1,0
230580,1,1,1,1,0
230590,1,1,1,1,0
230600,1,0,1,1,0
230610,0,0,1,1,0
230620,1,0,1,0,0
230625,1,0,0,1,0
230630,1,1,1,1,0
230640,1,1,1,1,0
230650,0,0,0,1,0
230655,0,1,1,1,0
230660,1,0,1,1,0
230670,0,0,1,1,0
230680,1,0,1,1,0
230690,0,1,1,1,0
230700,1,0,1,1,0
230710,0,0,0,0,0
230720,0,0,1,0,0
230725,1,0,1,1,0
230730,1,1,1,1,1
230740,0,0,0,1,0
230750,1,1,1,1,0
230760,1,1,1,1,0
230763,1,1,1,1,0
230765,1,1,1,1,0
230770,0,1,1,1,1
230780,1,0,0,1,0
230790,1,0,0,0,0
230800,1,1,1,1,0
230810,1,1,1,1,0
230820,1,0,0,1,0
230830,1,0,1,1,0
230835,0,0,0,1,0
230837,1,0,1,0,0
230840,1,0,1,1,0
230850,1,1,1,1,0
230860,1,0,0,1,0
230870,1,1,1,1,0
230880,1,0,0,1,0
230890,1,1,1,1,0
230900,1,0,1,0,0
230910,0,0,1,1,0
230920,0,0,0,1,0
230930,1,1,1,1,0
230940,0,0,0,1,0
230945,1,1,0,1,0
230950,1,0,1,1,0
230960,1,1,1,1,1
230970,0,0,1,1,0
230980,0,0,0,0,0
230990,1,0,1,1,0
231000,1,0,1,1,0
231010,0,1,1,1,0
231020,1,1,1,1,0
231025,1,0,1,1,0
231030,1,0,0,1,0
231040,0,0,0,0,0
231050,1,1,0,1,0
231060,1,0,1,1,0
231070,1,1,1,1,0
231080,1,0,1,0,0
231085,1,0,0,1,0
231090,0,0,1,1,0
231095,0,0,0,0,0
231100,0,0,0,0,0
231110,1,0,1,1,0
231120,1,0,0,1,0
231123,1,0,0,1,0
231126,1,0,1,1,0
231130,1,1,1,1,0
231135,1,0,0,1,0
231140,1,1,1,1,0
231150,0,0,0,1,0
231160,1,0,0,1,0
231170,1,0,1,1,0
231180,0,1,1,1,0
231190,1,0,0,1,0
231195,0,0,0,1,0
231200,1,0,0,1,0
231210,1,0,0,1,0
231220,1,1,1,1,0
231230,1,1,1,1,0
231240,1,0,1,0,0
231250,1,0,0,1,0
231260,1,0,0,1,0
231270,1,1,0,1,0
231280,0,0,0,0,0
231290,1,1,1,1,1
231300,1,1,0,1,0
231310,1,0,1,1,0
231320,1,0,1,1,0
231325,0,0,0,1,0
231330,1,1,1,1,0
231335,1,1,1,1,0
231340,1,1,1,1,0
231350,1,0,1,1,0
231355,1,0,1,1,0
231360,1,1,1,1,0
231370,0,0,0,0,0
231375,0,0,1,1,0
